"DayInStudy","Date","DofW","Site","Cafe","Intervention","ZeroCal","Regular","Juice","JuiceDrink","Sports","CosTot"
184,4162010,5,"NS","atr","excer",219,153,53,0,20,445
185,4172010,6,"NS","atr","excer",72,53,21,0,6,152
186,4182010,7,"NS","atr","excer",62,36,17,0,3,118
187,4192010,1,"NS","atr","excer",201,152,41,0,11,405
188,4202010,2,"NS","atr","excer",162,215,43,0,10,430
189,4212010,3,"NS","atr","excer",200,137,45,0,12,394
190,4222010,4,"NS","atr","excer",256,184,53,0,19,512
191,4232010,5,"NS","atr","excer",211,166,54,0,18,449
192,4242010,6,"NS","atr","excer",66,51,14,0,11,142
193,4252010,7,"NS","atr","excer",57,47,17,0,4,125
194,4262010,1,"NS","atr","excer",234,135,35,0,15,419
195,4272010,2,"NS","atr","excer",203,190,45,0,20,458
196,4282010,3,"NS","atr","excer",170,156,58,0,17,401
198,4302010,5,"NS","atr","excer",228,142,46,0,20,436
199,5012010,6,"NS","atr","excer",95,206,35,0,21,357
200,5022010,7,"NS","atr","excer",31,61,7,0,6,105
208,5102010,1,"NS","atr","follow",217,131,45,0,13,406
209,5112010,2,"NS","atr","follow",189,188,55,0,24,456
210,5122010,3,"NS","atr","follow",209,171,42,0,18,440
211,5132010,4,"NS","atr","follow",206,169,37,0,22,434
212,5142010,5,"NS","atr","follow",185,172,50,0,12,419
213,5152010,6,"NS","atr","follow",72,77,29,0,9,187
214,5162010,7,"NS","atr","follow",52,60,13,0,6,131
215,5172010,1,"NS","atr","follow",205,157,29,0,13,404
216,5182010,2,"NS","atr","follow",204,151,37,0,18,410
217,5192010,3,"NS","atr","follow",182,185,40,0,18,425
218,5202010,4,"NS","atr","follow",207,224,50,0,19,500
219,5212010,5,"NS","atr","follow",159,198,66,0,19,442
220,5222010,6,"NS","atr","follow",62,48,19,0,6,135
221,5232010,7,"NS","atr","follow",75,40,13,0,4,132
