"DayInStudy","Date","DofW","Site","Cafe","Intervention","ZeroCal","Regular","Juice","JuiceDrink","Sports","CosTot"
109,1312010,7,"chop","fc","follow",164,125,67,38,22,416
110,2012010,1,"chop","fc","preint",703,470,163,126,49,1511
111,2022010,2,"chop","fc","preint",661,535,173,112,31,1512
112,2032010,3,"chop","fc","preint",686,494,176,109,49,1514
113,2042010,4,"chop","fc","preint",698,518,192,116,55,1579
114,2052010,5,"chop","fc","preint",673,466,180,91,53,1463
115,2062010,6,"chop","fc","preint",207,222,155,50,17,651
116,2072010,7,"chop","fc","preint",257,205,103,52,20,637
117,2082010,1,"chop","fc","preint",653,504,164,96,61,1478
118,2092010,2,"chop","fc","preint",690,504,188,99,51,1532
119,2102010,3,"chop","fc","preint",446,401,204,79,45,1175
120,2112010,4,"chop","fc","preint",608,412,290,137,38,1485
121,2122010,5,"chop","fc","preint",690,504,213,109,63,1579
122,2132010,6,"chop","fc","preint",160,155,73,37,15,440
123,2142010,7,"chop","fc","preint",162,145,83,32,11,433
124,2152010,1,"chop","fc","cal",771,590,215,124,47,1747
125,2162010,2,"chop","fc","cal",725,539,195,85,58,1602
126,2172010,3,"chop","fc","cal",766,573,194,95,68,1696
127,2182010,4,"chop","fc","cal",796,569,206,109,65,1745
128,2192010,5,"chop","fc","cal",728,566,193,108,57,1652
129,2202010,6,"chop","fc","cal",158,153,77,32,17,437
130,2212010,7,"chop","fc","cal",153,137,82,40,16,428
131,2222010,1,"chop","fc","cal",705,522,187,93,59,1566
132,2232010,2,"chop","fc","cal",752,574,222,110,66,1724
133,2242010,3,"chop","fc","cal",788,547,216,105,67,1723
134,2252010,4,"chop","fc","cal",688,569,204,120,49,1630
135,2262010,5,"chop","fc","cal",567,489,197,104,44,1401
136,2272010,6,"chop","fc","cal",170,148,78,25,7,428
137,2282010,7,"chop","fc","cal",171,139,65,33,14,422
138,3012010,1,"chop","fc","cal",680,520,200,94,47,1541
139,3022010,2,"chop","fc","cal",674,518,203,84,50,1529
140,3032010,3,"chop","fc","cal",699,570,223,98,63,1653
141,3042010,4,"chop","fc","cal",787,556,220,104,46,1713
142,3052010,5,"chop","fc","cal",672,488,234,105,54,1553
143,3062010,6,"chop","fc","cal",157,121,67,30,21,396
144,3072010,7,"chop","fc","cal",128,132,66,23,5,354
152,3152010,1,"chop","fc","excer",650,517,185,70,59,1481
153,3162010,2,"chop","fc","excer",722,488,192,92,50,1544
154,3172010,3,"chop","fc","excer",689,525,207,106,60,1587
155,3182010,4,"chop","fc","excer",763,508,198,107,54,1630
156,3192010,5,"chop","fc","excer",673,509,221,85,61,1549
157,3202010,6,"chop","fc","excer",168,151,72,27,21,439
158,3212010,7,"chop","fc","excer",134,118,72,27,10,361
159,3222010,1,"chop","fc","excer",694,467,165,97,63,1486
160,3232010,2,"chop","fc","excer",734,516,178,82,42,1552
161,3242010,3,"chop","fc","excer",688,444,198,103,46,1479
162,3252010,4,"chop","fc","excer",799,568,165,90,50,1672
163,3262010,5,"chop","fc","excer",685,481,207,99,45,1517
164,3272010,6,"chop","fc","excer",186,133,77,26,9,431
165,3282010,7,"chop","fc","excer",158,120,78,24,9,389
166,3292010,1,"chop","fc","excer",719,530,182,68,53,1552
167,3302010,2,"chop","fc","excer",681,431,194,107,47,1460
168,3312010,3,"chop","fc","excer",720,512,195,111,51,1589
169,4012010,4,"chop","fc","excer",684,451,176,103,69,1483
170,4022010,5,"chop","fc","excer",554,456,169,98,50,1327
171,4032010,6,"chop","fc","excer",155,143,76,32,10,416
172,4042010,7,"chop","fc","excer",121,104,61,27,19,332
180,4122010,1,"chop","fc","both",651,493,167,82,58,1451
181,4132010,2,"chop","fc","both",722,485,175,99,43,1524
182,4142010,3,"chop","fc","both",699,506,173,102,63,1543
183,4152010,4,"chop","fc","both",707,469,177,94,50,1497
184,4162010,5,"chop","fc","both",653,487,192,99,60,1491
185,4172010,6,"chop","fc","both",177,120,84,31,13,425
186,4182010,7,"chop","fc","both",141,104,67,29,6,347
187,4192010,1,"chop","fc","both",686,504,181,89,55,1515
188,4202010,2,"chop","fc","both",703,503,169,96,62,1533
189,4212010,3,"chop","fc","both",686,569,177,112,67,1611
190,4222010,4,"chop","fc","both",786,572,187,96,58,1699
191,4232010,5,"chop","fc","both",687,445,190,122,39,1483
192,4242010,6,"chop","fc","both",166,150,79,36,10,441
193,4252010,7,"chop","fc","both",140,131,79,31,18,399
194,4262010,1,"chop","fc","both",711,516,189,102,51,1569
195,4272010,2,"chop","fc","both",703,504,183,101,53,1544
196,4282010,3,"chop","fc","both",774,550,177,98,59,1658
197,4292010,4,"chop","fc","both",794,536,173,98,50,1651
198,4302010,5,"chop","fc","both",659,447,177,100,44,1427
199,5012010,6,"chop","fc","both",185,154,82,38,15,474
200,5022010,7,"chop","fc","both",170,132,72,31,15,420
208,5102010,1,"chop","fc","follow",663,418,141,67,34,1323
209,5112010,2,"chop","fc","follow",800,535,192,102,55,1684
210,5122010,3,"chop","fc","follow",728,521,200,90,52,1591
211,5132010,4,"chop","fc","follow",763,534,189,92,60,1638
212,5142010,5,"chop","fc","follow",648,487,180,79,40,1434
213,5152010,6,"chop","fc","follow",134,119,56,28,9,346
214,5162010,7,"chop","fc","follow",161,133,71,23,9,397
215,5172010,1,"chop","fc","follow",645,430,147,100,51,1373
216,5182010,2,"chop","fc","follow",730,467,168,69,55,1489
217,5192010,3,"chop","fc","follow",718,479,160,92,48,1497
218,5202010,4,"chop","fc","follow",735,526,186,111,44,1602
219,5212010,5,"chop","fc","follow",718,495,194,93,67,1567
220,5222010,6,"chop","fc","follow",123,131,56,24,13,347
221,5232010,7,"chop","fc","follow",144,102,58,30,9,343
14,10282009,3,"HF","cafeteria","preint",134,259,,,0,393
15,10292009,4,"HF","cafeteria","preint",207,183,,,0,390
16,10302009,5,"HF","cafeteria","preint",154,246,,,0,400
17,10312009,6,"HF","cafeteria","preint",55,77,,,0,132
18,11012009,7,"HF","cafeteria","preint",53,53,,,0,106
19,11022009,1,"HF","cafeteria","preint",159,224,,,0,383
20,11032009,2,"HF","cafeteria","preint",206,138,,,0,344
21,11042009,3,"HF","cafeteria","preint",252,198,,,0,450
22,11052009,4,"HF","cafeteria","dismes",260,161,,,22,443
23,11062009,5,"HF","cafeteria","dismes",233,190,,,22,445
24,11072009,6,"HF","cafeteria","dismes",58,75,,,10,143
25,11082009,7,"HF","cafeteria","dismes",48,51,,,8,107
26,11092009,1,"HF","cafeteria","dismes",194,181,,,14,389
27,11102009,2,"HF","cafeteria","dismes",223,191,,,17,431
28,11112009,3,"HF","cafeteria","dismes",259,172,,,19,450
29,11122009,4,"HF","cafeteria","dismes",254,166,,,17,437
30,11132009,5,"HF","cafeteria","dismes",252,178,,,10,440
31,11142009,6,"HF","cafeteria","dismes",49,62,,,7,118
32,11152009,7,"HF","cafeteria","dismes",59,60,,,4,123
33,11162009,1,"HF","cafeteria","dismes",174,183,,,15,372
34,11172009,2,"HF","cafeteria","dismes",209,206,,,18,433
35,11182009,3,"HF","cafeteria","dismes",211,194,,,19,424
36,11192009,4,"HF","cafeteria","dismes",214,169,,,19,402
37,11202009,5,"HF","cafeteria","dismes",250,168,,,16,434
38,11212009,6,"HF","cafeteria","dismes",53,59,,,7,119
39,11222009,7,"HF","cafeteria","dismes",53,48,,,3,104
40,11232009,1,"HF","cafeteria","dismes",211,210,,,4,425
41,11242009,2,"HF","cafeteria","dismes",245,185,,,13,443
42,11252009,3,"HF","cafeteria","dismes",221,165,,,12,398
50,12032009,4,"HF","cafeteria","dis ",193,203,,,15,411
51,12042009,5,"HF","cafeteria","dis ",206,190,,,18,414
52,12052009,6,"HF","cafeteria","dis ",55,54,,,2,111
53,12062009,7,"HF","cafeteria","dis ",67,46,,,7,120
54,12072009,1,"HF","cafeteria","dis ",218,145,,,24,387
55,12082009,2,"HF","cafeteria","dis ",247,165,,,20,432
56,12092009,3,"HF","cafeteria","dis ",269,177,,,18,464
57,12102009,4,"HF","cafeteria","dis ",219,185,,,21,425
58,12112009,5,"HF","cafeteria","dis ",231,193,,,15,439
59,12122009,6,"HF","cafeteria","dis ",58,61,,,9,128
60,12132009,7,"HF","cafeteria","dis ",63,64,,,4,131
61,12142009,1,"HF","cafeteria","dis ",276,181,,,14,471
62,12152009,2,"HF","cafeteria","dis ",290,183,,,15,488
63,12162009,3,"HF","cafeteria","dis ",263,166,,,18,447
64,12172009,4,"HF","cafeteria","dis ",236,168,,,23,427
65,12182009,5,"HF","cafeteria","dis ",204,181,,,15,400
66,12192009,6,"HF","cafeteria","dis ",74,50,,,4,128
67,12202009,7,"HF","cafeteria","dis ",49,67,,,2,118
68,12212009,1,"HF","cafeteria","dis ",213,170,,,10,393
69,12222009,2,"HF","cafeteria","dis ",194,147,,,12,353
70,12232009,3,"HF","cafeteria","dis ",203,155,,,13,371
85,1072010,4,"HF","cafeteria","follow",223,179,,,14,416
86,1082010,5,"HF","cafeteria","follow",184,198,,,25,407
87,1092010,6,"HF","cafeteria","follow",61,40,,,5,106
88,1102010,7,"HF","cafeteria","follow",55,65,,,4,124
89,1112010,1,"HF","cafeteria","follow",208,168,,,15,391
90,1122010,2,"HF","cafeteria","follow",185,236,,,19,440
91,1132010,3,"HF","cafeteria","follow",240,191,,,16,447
92,1142010,4,"HF","cafeteria","follow",193,195,,,17,405
93,1152010,5,"HF","cafeteria","follow",184,169,,,15,368
94,1162010,6,"HF","cafeteria","follow",64,56,,,7,127
95,1172010,7,"HF","cafeteria","follow",42,58,,,6,106
96,1182010,1,"HF","cafeteria","follow",208,152,,,13,373
97,1192010,2,"HF","cafeteria","follow",207,204,,,20,431
98,1202010,3,"HF","cafeteria","follow",191,226,,,15,432
99,1212010,4,"HF","cafeteria","follow",209,207,,,16,432
100,1222010,5,"HF","cafeteria","follow",167,232,,,19,418
101,1232010,6,"HF","cafeteria","follow",13,80,,,6,99
102,1242010,7,"HF","cafeteria","follow",16,95,,,4,115
103,1252010,1,"HF","cafeteria","follow",156,196,,,16,368
104,1262010,2,"HF","cafeteria","follow",170,218,,,16,404
105,1272010,3,"HF","cafeteria","follow",173,218,,,11,402
106,1282010,4,"HF","cafeteria","follow",170,231,,,22,423
107,1292010,5,"HF","cafeteria","follow",199,198,,,16,413
108,1302010,6,"HF","cafeteria","follow",65,82,,,4,151
